Date,Month_Name,Month_Num,Customer_ID,Customer Name,Visit Type,Common_Value,Configuration,Location,Tower,Project Name,Parent Source,Lead Mode,Sourcing Manager,Closing Manger,Ethnicity,Age Group,Property Type,Married Status,Annual Income,No. of Children,Customer_ID2,Budget for property upto,Home owner,Purpose,Potential
12/12/2025,Dec,12,1001,PIHU SHENOY,2nd Time,1,{3bhk},Dadar,D,Crescent,Channel Partner,NextGen Estates,Ayesha Date,Advik Chandra,Hindu,61-90,Ready To Move,No,0-25L,4,1001,"₹ 20,000,000.00",1st Time,Self use,1
12/30/2025,Dec,12,1002,tejas tara,Fresh,1,{1bhk},Malad,B,Vallia,Direct,Direct,Mehul Rajagopalan,Shray Amble,Marwardi,46-60,Under Construction,Yes,0-25L,3,1002,"₹ 10,000,000.00",1st Time,Self use,1
7/27/2025,Jul,7,1003,tejas lalla,Fresh,1,{1bhk},Bhandup,A,Woods,Direct,Direct,Ahana Bhardwaj,Vritika Bhakta,Jain,36-45,Under Construction,Yes,50L-75L,2,1003,"₹ 10,000,000.00",1st Time,Self use,0
10/8/2025,Oct,10,1004,akarsh raj,Fresh,1,{2bhk},Parel,A,Vasudha,Direct,Direct,Samar Comar,Vritika Bhakta,Hindu,25-35,Ready To Move,Yes,25L-50L,2,1004,"₹ 15,000,000.00",1st Time,Investment,1
6/25/2025,Jun,6,1005,MIRAAN BORA,2nd Time,1,{1bhk},Powai,B,Crescent,Channel Partner,Skyline Builders,Samar Comar,Vritika Bhakta,Gujarati,36-45,Under Construction,Yes,1Cr>,4,1005,"₹ 10,000,000.00",1st Time,Self use,0
8/7/2025,Aug,8,1006,kanav lad,Fresh,1,{1bhk},Byculla,C,Woods,Channel Partner,Evergreen Holdings,Mehul Rajagopalan,Divit Sastry,Christian,36-45,Under Construction,No,0-25L,4,1006,"₹ 10,000,000.00",1st Time,Self use,0
11/17/2025,Nov,11,1007,LAGAN ARORA,Fresh,1,{2bhk},Mulund,B,Triangle,Direct,Direct,Shray Rajagopalan,Vritika Bhakta,Jain,36-45,Ready To Move,Yes,50L-75L,4,1007,"₹ 15,000,000.00",1st Time,Self use,0
9/20/2025,Sep,9,1008,JIVIN KALLA,2nd Time,1,{2bhk},Sion,B,Vallia,Direct,Direct,Yakshit Balan,Shray Amble,Marwardi,36-45,Under Construction,Yes,50L-75L,4,1008,"₹ 15,000,000.00",1st Time,Self use,0
3/28/2025,Mar,3,1009,kanav sundaram,Fresh,1,{2bhk},Chembur,B,Triangle,Channel Partner,Skyline Builders,Fateh Handa,Vritika Bhakta,Hindu,25-35,Under Construction,No,50L-75L,3,1009,"₹ 15,000,000.00",1st Time,Self use,0
6/8/2025,Jun,6,1010,yakshit dara,Fresh,1,{1bhk},Andheri,D,Crescent,Direct,Direct,Shanaya Shetty,Indranil Rau,Gujarati,25-35,Under Construction,Yes,0-25L,3,1010,"₹ 10,000,000.00",2nd Time,Self use,0
8/2/2025,Aug,8,1011,KASHVI KURUVILLA,Fresh,1,{1bhk},Kandivali,C,Vasudha,Direct,Direct,Himmat Solanki,Vardaniya Thakur,Gujarati,25-35,Ready To Move,Yes,50L-75L,2,1011,"₹ 10,000,000.00",1st Time,Investment,1
12/19/2025,Dec,12,1012,nakul brar,Fresh,1,{1bhk},Borivali,E,Woods,Channel Partner,Infinity Realty,Umang Khare,Hansh Srivastava,Jain,36-45,Ready To Move,Yes,25L-50L,3,1012,"₹ 10,000,000.00",1st Time,Self use,1
7/29/2025,Jul,7,1013,raghav aurora,Fresh,1,{2bhk},Sion,B,Crescent,Channel Partner,UrbanRise Partners,Navya Kashyap,Hansh Srivastava,Gujarati,25-35,Under Construction,Yes,75L-1Cr,1,1013,"₹ 15,000,000.00",1st Time,Self use,0
11/5/2025,Nov,11,1014,AARUSH GOSWAMI,Fresh,1,{2bhk},Mahim,D,Woods,Direct,Direct,Tushar Ray,Shray Amble,Jain,46-60,Ready To Move,Yes,50L-75L,2,1014,"₹ 15,000,000.00",1st Time,Self use,0
2/25/2025,Feb,2,1015,miraya sachdeva,2nd Time,1,{2bhk},Vile Parle,C,Crescent,Direct,Direct,Damini Din,Indranil Rau,Marwardi,61-90,Ready To Move,Yes,50L-75L,2,1015,"₹ 15,000,000.00",1st Time,Self use,0
7/16/2025,Jul,7,1016,hiran gandhi,2nd Time,1,{1bhk},Kandivali,C,Vallia,Channel Partner,Apex Realty,Umang Khare,Urvi Wason,Gujarati,46-60,Ready To Move,Yes,0-25L,2,1016,"₹ 10,000,000.00",2nd Time,Investment,1
2/21/2025,Feb,2,1017,dhanuk dhawan,Fresh,1,{2bhk},Khar,B,Triangle,Channel Partner,OmniLand Partners,Vaibhav Arora,Vritika Bhakta,Jain,25-35,Under Construction,Yes,75L-1Cr,2,1017,"₹ 15,000,000.00",2nd Time,Self use,1
7/11/2025,Jul,7,1018,SHLOK BALA,Fresh,1,{1bhk},Goregaon,D,Vallia,Channel Partner,Infinity Realty,Shray Rajagopalan,Urvi Wason,Gujarati,36-45,Under Construction,Yes,50L-75L,4,1018,"₹ 10,000,000.00",1st Time,Investment,0
6/14/2025,Jun,6,1019,zoya varughese,Fresh,1,{2bhk},Goregaon,B,Triangle,Channel Partner,TerraNova Realty,Vaibhav Arora,Indranil Rau,Muslim,36-45,Under Construction,Yes,25L-50L,4,1019,"₹ 15,000,000.00",2nd Time,Self use,0
10/11/2025,Oct,10,1020,aradhya doshi,Fresh,1,{1bhk},Kandivali,A,Vallia,Direct,Direct,Himmat Solanki,Urvi Wason,Jain,25-35,Under Construction,Yes,50L-75L,1,1020,"₹ 10,000,000.00",2nd Time,Investment,0
10/2/2025,Oct,10,1021,DISHANI DANI,Fresh,1,{2bhk},Goregaon,E,Triangle,Channel Partner,Infinity Realty,Sana Rege,Indranil Rau,Jain,36-45,Under Construction,Yes,25L-50L,4,1021,"₹ 15,000,000.00",1st Time,Self use,0
3/19/2025,Mar,3,1022,tushar sandal,Fresh,1,{2bhk},Goregaon,B,Crescent,Channel Partner,NextGen Estates,Jhanvi Madan,Vritika Bhakta,Jain,25-35,Under Construction,No,25L-50L,2,1022,"₹ 15,000,000.00",1st Time,Self use,0
12/9/2025,Dec,12,1023,ADVIKA BANSAL,Fresh,1,{1bhk},Powai,B,Vasudha,Direct,Direct,Neysa Mallick,Vardaniya Thakur,Hindu,61-90,Under Construction,Yes,0-25L,3,1023,"₹ 10,000,000.00",1st Time,Self use,0
2/4/2025,Feb,2,1024,anaya bhandari,Fresh,1,{2bhk},Goregaon,E,Crescent,Direct,Direct,Jhanvi Madan,Ishaan Balay,Christian,61-90,Under Construction,Yes,50L-75L,4,1024,"₹ 15,000,000.00",2nd Time,Investment,0
11/22/2025,Nov,11,1025,indranil dua,2nd Time,1,{4bhk},Powai,B,Crescent,Direct,Direct,Jhanvi Madan,Urvi Wason,Hindu,36-45,Under Construction,Yes,75L-1Cr,4,1025,"₹ 15,000,000.00",1st Time,Self use,0
8/31/2025,Aug,8,1026,zoya johal,2nd Time,1,{2bhk},Juhu,B,Triangle,Direct,Direct,Himmat Solanki,Hansh Srivastava,Christian,46-60,Under Construction,Yes,0-25L,3,1026,"₹ 15,000,000.00",1st Time,Investment,0
6/21/2025,Jun,6,1027,advik gokhale,2nd Time,1,{2bhk},Chandivali,C,Vasudha,Direct,Direct,Jhanvi Madan,Divit Sastry,Hindu,61-90,Ready To Move,Yes,25L-50L,4,1027,"₹ 15,000,000.00",1st Time,Investment,0
10/28/2025,Oct,10,1028,manjari mander,Fresh,1,{2bhk},Prabhadevi,A,Triangle,Channel Partner,Fortune Realty,Umang Khare,Hansh Srivastava,Hindu,46-60,Under Construction,Yes,1Cr>,4,1028,"₹ 15,000,000.00",2nd Time,Investment,1
3/25/2025,Mar,3,1029,prerak chaudhuri,Fresh,1,{2bhk},Goregaon,D,Triangle,Direct,Direct,Vidur Srinivasan,Vritika Bhakta,Christian,25-35,Under Construction,Yes,50L-75L,0,1029,"₹ 15,000,000.00",2nd Time,Self use,0
10/31/2025,Oct,10,1030,KANAV AGGARWAL,Fresh,1,{1bhk},Goregaon,B,Crescent,Channel Partner,Phoenix Realty,Damini Din,Urvi Wason,Hindu,25-35,Under Construction,Yes,50L-75L,2,1030,"₹ 10,000,000.00",1st Time,Self use,0
